timestep,ID,x,y,z,u,v,w,fx,fy,fz,omx,omy,omz,tx,ty,tz
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0.002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0.001001,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0.001001,0.001001,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0.002002,0.001001,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0.002002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0.001001,0.002002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0.002002,0.002002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,0,0,0.001001,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0.001001,0,0.001001,0,0,0,0,0,0,0,0,0,0,0,0
0,11,0.002002,0,0.001001,0,0,0,0,0,0,0,0,0,0,0,0
0,12,0,0.001001,0.001001,0,0,0,0,0,0,0,0,0,0,0,0
0,13,0.001001,0.001001,0.001001,0,0,0,0,0,0,0,0,0,0,0,0
0,14,0.002002,0.001001,0.001001,0,0,0,0,0,0,0,0,0,0,0,0
0,15,0,0.002002,0.001001,0,0,0,0,0,0,0,0,0,0,0,0
0,16,0.001001,0.002002,0.001001,0,0,0,0,0,0,0,0,0,0,0,0
0,17,0.002002,0.002002,0.001001,0,0,0,0,0,0,0,0,0,0,0,0
0,18,0,0,0.002002,0.001,0,0,0,0,0,0,0,0,0,0,0
0,19,0.001001,0,0.002002,0.001,0,0,0,0,0,0,0,0,0,0,0
0,20,0.002002,0,0.002002,0.001,0,0,0,0,0,0,0,0,0,0,0
0,21,0,0.001001,0.002002,0.001,0,0,0,0,0,0,0,0,0,0,0
0,22,0.001001,0.001001,0.002002,0.001,0,0,0,0,0,0,0,0,0,0,0
0,23,0.002002,0.001001,0.002002,0.001,0,0,0,0,0,0,0,0,0,0,0
0,24,0,0.002002,0.002002,0.001,0,0,0,0,0,0,0,0,0,0,0
0,25,0.001001,0.002002,0.002002,0.001,0,0,0,0,0,0,0,0,0,0,0
0,26,0.002002,0.002002,0.002002,0.001,0,0,0,0,0,0,0,0,0,0,0
0.001,0,-8.53736e-23,0,1.66057e-10,-2.7654e-19,0,3.1832e-07,-1.92168e-21,0,6.27975e-10,0,-2.11436e-51,0,0,-2.68245e-60,0
0.001,1,0.001001,0,1.66057e-10,-2.75781e-19,0,3.1832e-07,-2.03311e-21,0,6.27975e-10,0,-2.05753e-51,0,0,-2.68681e-60,0
0.001,2,0.002002,0,1.66057e-10,-2.7574e-19,0,3.1832e-07,-2.11395e-21,0,6.27975e-10,0,-2.13909e-51,0,0,-2.53259e-60,0
0.001,3,-8.53736e-23,0.001001,1.66057e-10,-2.7654e-19,0,3.1832e-07,-1.92168e-21,0,6.27975e-10,0,-2.11436e-51,0,0,-2.68245e-60,0
0.001,4,0.001001,0.001001,1.66057e-10,-2.75781e-19,0,3.1832e-07,-2.03311e-21,0,6.27975e-10,0,-2.05753e-51,0,0,-2.68681e-60,0
0.001,5,0.002002,0.001001,1.66057e-10,-2.7574e-19,0,3.1832e-07,-2.11395e-21,0,6.27975e-10,0,-2.13909e-51,0,0,-2.53259e-60,0
0.001,6,-8.53736e-23,0.002002,1.66057e-10,-2.7654e-19,0,3.1832e-07,-1.92168e-21,0,6.27975e-10,0,-2.11436e-51,0,0,-2.68245e-60,0
0.001,7,0.001001,0.002002,1.66057e-10,-2.75781e-19,0,3.1832e-07,-2.03311e-21,0,6.27975e-10,0,-2.05753e-51,0,0,-2.68681e-60,0
0.001,8,0.002002,0.002002,1.66057e-10,-2.7574e-19,0,3.1832e-07,-2.11395e-21,0,6.27975e-10,0,-2.13909e-51,0,0,-2.53259e-60,0
0.001,9,1.66895e-15,0,0.001001,-1.99767e-11,0,3.26365e-07,-1.98195e-13,0,1.53641e-09,0,-6.98674e-19,0,0,-5.12155e-28,0
0.001,10,0.001001,0,0.001001,-1.99767e-11,0,3.26365e-07,-1.98195e-13,0,1.53641e-09,0,-6.98674e-19,0,0,-5.12155e-28,0
0.001,11,0.002002,0,0.001001,-1.99767e-11,0,3.26365e-07,-1.98195e-13,0,1.53641e-09,0,-6.98674e-19,0,0,-5.12155e-28,0
0.001,12,1.66895e-15,0.001001,0.001001,-1.99767e-11,0,3.26365e-07,-1.98195e-13,0,1.53641e-09,0,-6.98674e-19,0,0,-5.12155e-28,0
0.001,13,0.001001,0.001001,0.001001,-1.99767e-11,0,3.26365e-07,-1.98195e-13,0,1.53641e-09,0,-6.98674e-19,0,0,-5.12155e-28,0
0.001,14,0.002002,0.001001,0.001001,-1.99767e-11,0,3.26365e-07,-1.98195e-13,0,1.53641e-09,0,-6.98674e-19,0,0,-5.12155e-28,0
0.001,15,1.66895e-15,0.002002,0.001001,-1.99767e-11,0,3.26365e-07,-1.98195e-13,0,1.53641e-09,0,-6.98674e-19,0,0,-5.12155e-28,0
0.001,16,0.001001,0.002002,0.001001,-1.99767e-11,0,3.26365e-07,-1.98195e-13,0,1.53641e-09,0,-6.98674e-19,0,0,-5.12155e-28,0
0.001,17,0.002002,0.002002,0.001001,-1.99767e-11,0,3.26365e-07,-1.98195e-13,0,1.53641e-09,0,-6.98674e-19,0,0,-5.12155e-28,0
0.001,18,1e-06,0,0.002002,0.001,0,-6.44685e-07,1.98195e-13,0,-2.16438e-09,0,6.98674e-19,0,0,5.12155e-28,0
0.001,19,0.001002,0,0.002002,0.001,0,-6.44685e-07,1.98195e-13,0,-2.16438e-09,0,6.98674e-19,0,0,5.12155e-28,0
0.001,20,0.002003,0,0.002002,0.001,0,-6.44685e-07,1.98195e-13,0,-2.16438e-09,0,6.98674e-19,0,0,5.12155e-28,0
0.001,21,1e-06,0.001001,0.002002,0.001,0,-6.44685e-07,1.98195e-13,0,-2.16438e-09,0,6.98674e-19,0,0,5.12155e-28,0
0.001,22,0.001002,0.001001,0.002002,0.001,0,-6.44685e-07,1.98195e-13,0,-2.16438e-09,0,6.98674e-19,0,0,5.12155e-28,0
0.001,23,0.002003,0.001001,0.002002,0.001,0,-6.44685e-07,1.98195e-13,0,-2.16438e-09,0,6.98674e-19,0,0,5.12155e-28,0
0.001,24,1e-06,0.002002,0.002002,0.001,0,-6.44685e-07,1.98195e-13,0,-2.16438e-09,0,6.98674e-19,0,0,5.12155e-28,0
0.001,25,0.001002,0.002002,0.002002,0.001,0,-6.44685e-07,1.98195e-13,0,-2.16438e-09,0,6.98674e-19,0,0,5.12155e-28,0
0.001,26,0.002003,0.002002,0.002002,0.001,0,-6.44685e-07,1.98195e-13,0,-2.16438e-09,0,6.98674e-19,0,0,5.12155e-28,0
0.002,0,-6.7853e-22,0,6.6482e-10,-1.01113e-18,0,6.55724e-07,7.93763e-22,0,2.31345e-09,0,-5.00884e-50,0,0,-5.19904e-60,0
0.002,1,0.001001,0,6.6482e-10,-1.02509e-18,0,6.55724e-07,4.98553e-22,0,2.31345e-09,0,-5.02065e-50,0,0,-5.28081e-60,0
0.002,2,0.002002,0,6.6482e-10,-1.03218e-18,0,6.55724e-07,-3.4029e-22,0,2.31345e-09,0,-4.79201e-50,0,0,-5.08587e-60,0
0.002,3,-6.7853e-22,0.001001,6.6482e-10,-1.01113e-18,0,6.55724e-07,7.93763e-22,0,2.31345e-09,0,-5.00884e-50,0,0,-5.19904e-60,0
0.002,4,0.001001,0.001001,6.6482e-10,-1.02509e-18,0,6.55724e-07,4.98553e-22,0,2.31345e-09,0,-5.02065e-50,0,0,-5.28081e-60,0
