timestep,ID,x,y,z,u,v,w,omx,omy,omz,fx,fy,fz,tx,ty,tz 
1e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1e-07,1,0.001001,0.001001,0,0,0,0,0,0,0,0,0,0,0,0,0
1e-07,2,0.002002,0.002002,0,0,0,0,0,0,0,0,0,0,0,0,0
1e-07,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1e-07,4,0.001001,0.001001,0,0,0,0,0,0,0,0,0,0,0,0,0
1e-07,5,0.002002,0.002002,0,0,0,0,0,0,0,0,0,0,0,0,0
1e-07,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1e-07,7,0.001001,0.001001,0,0,0,0,0,0,0,0,0,0,0,0,0
1e-07,8,0.002002,0.002002,0,0,0,0,0,0,0,0,0,0,0,0,0
1e-07,9,0,0,0.001001,-3.02167e-12,0,-3.02469e-07,0,0,0,-7.38333e-11,0,-7.39072e-06,0,0,0
1e-07,10,0.001001,0.001001,0.001001,-2.72925e-12,0,-2.73198e-07,0,0,0,-6.66882e-11,0,-6.67549e-06,0,0,0
1e-07,11,0.002002,0.002002,0.001001,-2.5343e-12,0,-2.53684e-07,0,0,0,-6.19247e-11,0,-6.19866e-06,0,0,0
1e-07,12,0,0,0.001001,-2.24188e-12,0,-2.24413e-07,0,0,0,-5.47796e-11,0,-5.48343e-06,0,0,0
1e-07,13,0.001001,0.001001,0.001001,-1.94946e-12,0,-1.95141e-07,0,0,0,-4.76344e-11,0,-4.7682e-06,0,0,0
1e-07,14,0.002002,0.002002,0.001001,-1.75452e-12,0,-1.75627e-07,0,0,0,-4.2871e-11,0,-4.29138e-06,0,0,0
1e-07,15,0,0,0.001001,-1.55957e-12,0,-1.56113e-07,0,0,0,-3.81075e-11,0,-3.81456e-06,0,0,0
1e-07,16,0.001001,0.001001,0.001001,-1.36463e-12,0,-1.36599e-07,0,0,0,-3.33441e-11,0,-3.33774e-06,0,0,0
1e-07,17,0.002002,0.002002,0.001001,-1.26715e-12,0,-1.26842e-07,0,0,0,-3.09624e-11,0,-3.09933e-06,0,0,0
1e-07,18,1e-08,1e-08,0.002002,1.85199e-12,0,1.85384e-07,0,0,0,4.52527e-11,0,4.52979e-06,0,0,0
1e-07,19,0.00100101,0.00100101,0.002002,1.55957e-12,0,1.56113e-07,0,0,0,3.81075e-11,0,3.81456e-06,0,0,0
1e-07,20,0.00200201,0.00200201,0.002002,1.55957e-12,0,1.56113e-07,0,0,0,3.81075e-11,0,3.81456e-06,0,0,0
1e-07,21,1e-08,1e-08,0.002002,1.16968e-12,0,1.17085e-07,0,0,0,2.85806e-11,0,2.86092e-06,0,0,0
1e-07,22,0.00100101,0.00100101,0.002002,1.07221e-12,0,1.07328e-07,0,0,0,2.61989e-11,0,2.62251e-06,0,0,0
1e-07,23,0.00200201,0.00200201,0.002002,9.74732e-13,0,9.75707e-08,0,0,0,2.38172e-11,0,2.3841e-06,0,0,0
1e-07,24,1e-08,1e-08,0.002002,9.74732e-13,0,9.75707e-08,0,0,0,2.38172e-11,0,2.3841e-06,0,0,0
1e-07,25,0.00100101,0.00100101,0.002002,9.74732e-13,0,9.75707e-08,0,0,0,2.38172e-11,0,2.3841e-06,0,0,0
1e-07,26,0.00200201,0.00200201,0.002002,9.74732e-13,0,9.75707e-08,0,0,0,2.38172e-11,0,2.3841e-06,0,0,0
0.0099901,0,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,-nan,-nan,-nan,0,0,0
0.0099901,1,nan,nan,nan,-nan,-nan,-nan,0,0,0,-nan,-nan,-nan,0,0,0
0.0099901,2,-nan,-nan,-nan,nan,nan,nan,0,0,0,nan,nan,nan,0,0,0
0.0099901,3,nan,nan,nan,-nan,-nan,-nan,0,0,0,-nan,-nan,-nan,0,0,0
0.0099901,4,-nan,-nan,-nan,nan,nan,nan,0,0,0,nan,nan,nan,0,0,0
0.0099901,5,nan,nan,nan,-nan,-nan,-nan,0,0,0,-nan,-nan,-nan,0,0,0
0.0099901,6,-nan,-nan,-nan,nan,nan,nan,0,0,0,nan,nan,nan,0,0,0
0.0099901,7,nan,nan,nan,-nan,-nan,-nan,0,0,0,-nan,-nan,-nan,0,0,0
0.0099901,8,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,-nan,-nan,-nan,0,0,0
0.0099901,9,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,-nan,-nan,-nan,0,0,0
0.0099901,10,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,0,0
0.0099901,11,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,-nan,-nan,-nan,0,0,0
0.0099901,12,-nan,-nan,-nan,nan,nan,nan,0,0,0,nan,nan,nan,0,0,0
0.0099901,13,nan,nan,nan,-nan,-nan,-nan,0,0,0,-nan,-nan,-nan,0,0,0
0.0099901,14,-nan,-nan,-nan,nan,nan,nan,0,0,0,nan,nan,nan,0,0,0
0.0099901,15,nan,nan,nan,-nan,-nan,-nan,0,0,0,-nan,-nan,-nan,0,0,0
